Transaction ID,Customer ID,Transaction Amount,Transaction Date,Payment Method,Product Category,Quantity,Customer Age,Customer Location,Device Used,IP Address,Shipping Address,Billing Address,Is Fraudulent,Account Age Days,Transaction Hour
West Stephanie, FM 52970","60361 Baker Mill Suite 498
West Stephanie, FM 52970",0,297,13
7b73dcec-7d6a-4937-a633-a9a292d1cb7d,a0b4567d-00d1-4689-8698-09a5606e1ae7,104.82,2024-02-16 15:20:56,bank transfer,toys & games,3,30,Ericksonport,tablet,120.231.47.144,"10188 Howard Canyon
Glovershire, HI 85450","10188 Howard Canyon
Glovershire, HI 85450",0,195,15
316749b6-b24e-4504-98e6-ffa66043e3f6,121a6741-d784-44b2-8c50-ddc07a8bb871,333.65,2024-03-31 02:55:02,bank transfer,toys & games,4,41,North Joshua,desktop,120.2.215.204,"7283 Evans Mountains Apt. 584
New Christopher, AL 24058","7283 Evans Mountains Apt. 584
New Christopher, AL 24058",0,6,2
6913bade-d68e-4484-ba82-27b257c651d0,582f4bde-dc9b-424e-a856-758823dfa026,1161.25,2024-02-07 18:21:52,debit card,clothing,3,34,Bishopstad,mobile,201.133.252.29,"3359 Tammy Walks
Port Beth, AK 91315","3359 Tammy Walks
Port Beth, AK 91315",1,24,3
fa6d8379-9557-46c6-a0d0-2af596401c34,d6b3b88d-dde7-4df8-ba52-332757f5d113,13.95,2024-02-16 20:51:48,PayPal,electronics,3,19,North Barryfort,desktop,171.205.167.185,"5212 Rebecca Turnpike Suite 431
New Emily, AL 79033","5212 Rebecca Turnpike Suite 431
New Emily, AL 79033",0,131,20
500dbd9b-516d-4bf7-b4ff-d52d2814ea96,f6f936f5-92ff-4e96-9408-6bf1ae52ef2a,340.27,2024-02-07 22:51:27,credit card,electronics,2,39,North Kellyland,desktop,70.142.7.66,"51677 Anthony Hill Suite 885
North Ericshire, NE 41662","51677 Anthony Hill Suite 885
North Ericshire, NE 41662",0,9,22
5b791f0c-0bd0-4b6d-bc79-b93ead4e9319,7d24e6e6-6f1a-4a98-b55a-bd71c42d27b6,158.01,2024-04-03 06:17:51,bank transfer,home & garden,1,27,South Luisberg,mobile,206.126.248.229,"115 Gray Drives
Davisberg, GU 44377","115 Gray Drives
Davisberg, GU 44377",0,10,6
4fcb6dce-0a8c-41d8-8d89-c5ecc802e2b8,edf0f9e3-1f1a-47e6-a4fa-2e965faf7cd7,75.8,2024-03-09 20:00:09,credit card,clothing,2,45,Lake Richardside,tablet,115.81.247.198,"Unit 0579 Box 9622
DPO AP 03501","Unit 0579 Box 9622
DPO AP 03501",0,239,20
1af0791a-dd55-4229-b067-cb16a0e0e7e7,0ca67cce-593e-4965-adf4-c2a1babdab6b,250.45,2024-02-20 18:11:40,credit card,electronics,4,49,New Sethview,tablet,1.155.237.233,"770 Suzanne Lakes Suite 116
East Johnchester, DE 48917","770 Suzanne Lakes Suite 116
East Johnchester, DE 48917",0,338,18
50bbc5cc-0241-4707-84ca-1b36f01ba227,8e2dfe25-de35-4f08-9e62-2668e8916e75,59.77,2024-01-10 13:00:51,credit card,health & beauty,3,12,Joyside,mobile,82.125.239.15,"6490 James Tunnel Apt. 685
South Scottbury, PA 33944","6490 James Tunnel Apt. 685
South Scottbury, PA 33944",0,225,13
